feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP	stay_years	stay_years	0.947264636	0.306447953	22	19	0.001994091	0.058823456
PWY66.391..fatty.acid..beta..oxidation.VI..mammalian.peroxisome.	status	uninfected	1.469980123	0.476397709	22	21	0.002031314	0.058823456
PWY.5913..partial.TCA.cycle..obligate.autotrophs.	status	uninfected	-0.473814869	0.154061437	22	22	0.002101549	0.05961536
HCAMHPDEG.PWY..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation.to.2.hydroxypentadienoate	spike_inhibition	yes	3.540995911	1.161376031	22	13	0.002296305	0.062585581
PWY.6690..cinnamate.and.3.hydroxycinnamate.degradation.to.2.hydroxypentadienoate	spike_inhibition	yes	3.540995911	1.161376031	22	13	0.002296305	0.062585581
DAPLYSINESYN.PWY..L.lysine.biosynthesis.I	stay_years	stay_years	0.240045241	0.079047774	22	22	0.002391747	0.062726949
PWY0.166..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis..E..coli.	spike_inhibition	yes	1.549258796	0.509930529	22	18	0.002380147	0.062726949
PWY.6936..seleno.amino.acid.biosynthesis..plants.	spike_inhibition	yes	0.084114848	0.027776029	22	22	0.002459133	0.063299916
PWY.5747..2.methylcitrate.cycle.II	spike_inhibition	yes	3.458676282	1.148367439	22	13	0.002596863	0.06562982
REDCITCYC..TCA.cycle.VI..Helicobacter.	status	uninfected	-2.025051249	0.674115664	22	17	0.002664452	0.066135504
PWY.4984..urea.cycle	status	uninfected	0.462062609	0.154434337	22	22	0.002771852	0.067594293
PWY.5367..petroselinate.biosynthesis	spike_inhibition	yes	3.462119295	1.159521896	22	13	0.002828225	0.067779887
PWY66.391..fatty.acid..beta..oxidation.VI..mammalian.peroxisome.	stay_years	stay_years	-0.648744802	0.218270064	22	21	0.002956629	0.069656175
PYRIDNUCSAL.PWY..NAD.salvage.pathway.I..PNC.VI.cycle.	stay_years	stay_years	0.599152084	0.20260147	22	21	0.003103522	0.071898256
ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation	spike_inhibition	yes	3.167318775	1.090231529	22	12	0.00367042	0.074986849
HEXITOLDEGSUPER.PWY..superpathway.of.hexitol.degradation..bacteria.	spike_inhibition	yes	0.995358801	0.340558064	22	20	0.003469788	0.074986849
ORNARGDEG.PWY..superpathway.of.L.arginine.and.L.ornithine.degradation	spike_inhibition	yes	3.167318775	1.090231529	22	12	0.00367042	0.074986849
PWY.5189..tetrapyrrole.biosynthesis.II..from.glycine.	status	uninfected	-1.405822468	0.478533435	22	21	0.003305793	0.074986849
PWY.6807..xyloglucan.degradation.II..exoglucanase.	antibiotics	yes	-18.86542425	6.487808051	22	8	0.003639495	0.074986849
PWY.6807..xyloglucan.degradation.II..exoglucanase.	status	uninfected	14.89385023	5.083159842	22	8	0.003389208	0.074986849
PWY.7254..TCA.cycle.VII..acetate.producers.	status	uninfected	-2.434035789	0.832368774	22	16	0.003453121	0.074986849
PWY.7761..NAD.salvage.pathway.II..PNC.IV.cycle.	status	uninfected	-0.254065338	0.087027861	22	22	0.00350755	0.074986849
PWY0.461..L.lysine.degradation.I	spike_inhibition	yes	3.464344609	1.194280981	22	9	0.003722369	0.074986849
PWY.7858...5Z..dodecenoate.biosynthesis.II	status	uninfected	-3.174723666	1.097138083	22	16	0.003808034	0.075616666
PWY.1861..formaldehyde.assimilation.II..assimilatory.RuMP.Cycle.	stay_years	stay_years	-0.195261258	0.069013066	22	22	0.004664448	0.081044779
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.	stay_years	stay_years	0.258147725	0.090714606	22	22	0.004431213	0.081044779
PWY.5392..reductive.TCA.cycle.II	spike_inhibition	yes	2.901097937	1.018877466	22	13	0.004408525	0.081044779
PWY.5920..superpathway.of.heme.b.biosynthesis.from.glycine	spike_inhibition	yes	2.016131725	0.705654457	22	14	0.00427519	0.081044779
PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.	spike_inhibition	yes	0.556673511	0.19587067	22	13	0.004482498	0.081044779
PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III	status	uninfected	-0.977275893	0.345187047	22	22	0.004638114	0.081044779
PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I	status	uninfected	-0.979127955	0.34251228	22	22	0.004254275	0.081044779
PWY.7761..NAD.salvage.pathway.II..PNC.IV.cycle.	spike_inhibition	yes	0.141164899	0.049270899	22	22	0.004169085	0.081044779
PWY.801..homocysteine.and.cysteine.interconversion	spike_inhibition	yes	2.404754146	0.849205081	22	16	0.004629102	0.081044779
PWY66.391..fatty.acid..beta..oxidation.VI..mammalian.peroxisome.	antibiotics	yes	-1.646816719	0.580406415	22	21	0.004548957	0.081044779
PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.	spike_inhibition	yes	1.679562811	0.595132452	22	13	0.004770042	0.081856276
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.	age	age	-0.158094424	0.056119445	22	22	0.004845854	0.082143128
PWY.7858...5Z..dodecenoate.biosynthesis.II	antibiotics	yes	3.352923869	1.194446224	22	16	0.004999052	0.083719058
HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I	status	uninfected	-1.716925829	0.614104334	22	19	0.005176805	0.085133987
PWY.7211..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis	stay_years	stay_years	0.412583049	0.147841013	22	22	0.005259075	0.085133987
