"sample","diversity"
"01_A",18.1114028250871
"01_B",18.1278381724942
"01_C",17.924017930082
"02_A",18.7255596253784
"02_B",18.3181415271366
"02_C",18.3613740727559
"03_A",18.0953271118855
"03_B",18.0109818158145
"03_C",17.9917002840572
"04_A",19.0398924755185
"04_B",18.8701150293382
"04_C",18.6584269482899
"05_A",18.4068838564739
"05_B",18.3531943514018
"06_A",17.9726802315305
"07_A",18.5921575325602
"07_B",18.6650940661189
"08_A",18.2171958701127
"08_B",18.0423638692782
"09_A",17.7416110487532
"10_A",18.387201294259
"10_B",18.5223945780423
