"sample","seq_effort"
"01_A",2.2577913856913
"01_B",3.02230760620729
"01_C",2.25336980567127
"02_A",7.36736670052187
"02_B",4.73092750748653
"02_C",4.51632051902437
"03_A",2.45016023046544
"03_B",2.38276404475909
"03_C",2.38924951819413
"04_A",8.67275271236613
"04_B",6.64579298396129
"04_C",8.53602437977781
"05_A",3.22223574804775
"05_B",2.90894358398123
"06_A",6.46334443650809
"07_A",5.74440427418425
"07_B",5.58069764247009
"08_A",3.18655159412751
"08_B",2.73110243563342
"09_A",5.43402340382673
"10_A",3.97040399470781
"10_B",4.44701744494384
