sample  diversity_shannon
01_A	3.45828337865995
01_B	3.45383425227328
01_C	3.36839724144102
02_A	4.16012150818749
02_B	3.92220324732593
02_C	4.09650643671165
03_A	3.54746131907979
03_B	3.38559576976561
03_C	3.38963430841108
04_A	4.31859147654982
04_B	4.27154084350668
04_C	3.99619295788606
05_A	3.94304297034629
05_B	3.90391879035559
06_A	3.34272368060315
07_A	3.935402541617
07_B	4.04328674784513
08_A	3.50435625105343
08_B	3.46510190814207
09_A	3.18369265087518
10_A	3.78306409937339
10_B	3.95475088892476
