feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY0.1277..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation	spike_inhibition	yes	2.30046794425133	0.723871468543837	22	13	0.00148291629768366	0.0613411913569423
PWY0.1415..superpathway.of.heme.b.biosynthesis.from.uroporphyrinogen.III	spike_inhibition	yes	1.0494718949765	0.335276583732814	22	19	0.0017470660296104	0.0613411913569423
PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP	stay_years	stay_years	0.947264636010257	0.306447953465874	22	19	0.00199409082966212	0.0670107267177155
PWY.5913..partial.TCA.cycle..obligate.autotrophs.	status	uninfected	-0.473814722572808	0.15406152049428	22	22	0.00210156715350234	0.0690173758366108
DAPLYSINESYN.PWY..L.lysine.biosynthesis.I	stay_years	stay_years	0.240045196380388	0.0790477894932111	22	22	0.00239175606248319	0.0720018231310044
HCAMHPDEG.PWY..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation.to.2.hydroxypentadienoate	spike_inhibition	yes	3.54099591082586	1.16137603138963	22	13	0.00229630548865341	0.0720018231310044
PWY.6690..cinnamate.and.3.hydroxycinnamate.degradation.to.2.hydroxypentadienoate	spike_inhibition	yes	3.54099591082586	1.16137603138963	22	13	0.00229630548865341	0.0720018231310044
PWY0.166..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis..E..coli.	spike_inhibition	yes	1.54925879606488	0.509930528887029	22	18	0.00238014741796247	0.0720018231310044
PWY.5747..2.methylcitrate.cycle.II	spike_inhibition	yes	3.45867628168283	1.14836743906681	22	13	0.0025968633850614	0.0765809712533411
REDCITCYC..TCA.cycle.VI..Helicobacter.	status	uninfected	-2.02505124948134	0.674115663676735	22	17	0.00266445197125063	0.0770026619691433
PWY.4984..urea.cycle	status	uninfected	0.46206270279339	0.154434340537577	22	22	0.00277184741344718	0.0785356767143368
PWY.5367..petroselinate.biosynthesis	spike_inhibition	yes	3.46211929497247	1.15952189612985	22	13	0.00282822549500487	0.0785920353900393
PYRIDNUCSAL.PWY..NAD.salvage.pathway.I..PNC.VI.cycle.	stay_years	stay_years	0.599152084432474	0.20260147026454	22	21	0.00310352185826963	0.0846148883999927
ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation	spike_inhibition	yes	3.16731877457743	1.09023152895491	22	12	0.00367042014860194	0.0867552079983843
HEXITOLDEGSUPER.PWY..superpathway.of.hexitol.degradation..bacteria.	spike_inhibition	yes	0.995358801199495	0.340558064497514	22	20	0.00346978791757375	0.0867552079983843
ORNARGDEG.PWY..superpathway.of.L.arginine.and.L.ornithine.degradation	spike_inhibition	yes	3.16731877457743	1.09023152895491	22	12	0.00367042014860194	0.0867552079983843
PWY.5189..tetrapyrrole.biosynthesis.II..from.glycine.	status	uninfected	-1.40582246813897	0.47853343490777	22	21	0.0033057928012297	0.0867552079983843
PWY.6807..xyloglucan.degradation.II..exoglucanase.	antibiotics	yes	-18.8654242478753	6.48780805073624	22	8	0.00363949467831193	0.0867552079983843
PWY.6807..xyloglucan.degradation.II..exoglucanase.	status	uninfected	14.8938502291707	5.083159842359	22	8	0.00338920827332852	0.0867552079983843
