	X01_A	X01_B	X01_C	X02_A	X02_B	X02_C	X03_A	X03_B	X03_C	X04_A	X04_B	X04_C	X05_A	X05_B	X06_A	X07_A	X07_B	X08_A	X08_B	X09_A	X10_A	X10_B
PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis	5.94471	2.42805	104.823	6.06887	14.6327	10.8571	86.6325	1.73353	1.97134	11.4577	12.7696	5.07119	62.1703	5.23391	1.94963	15.0533	8.12932	1.32429	8.72649	9.69837	4.63521	4.93046
PWY-5838: superpathway of menaquinol-8 biosynthesis I	19.0978	8.00531	183.509	18.791	28.1437	33.7177	152.705	5.7863	6.518	33.5094	26.9765	15.9283	116.878	16.7016	6.52559	36.5098	23.7943	4.43706	27.4173	24.8949	15.1382	15.9622
PWY-5840: superpathway of menaquinol-7 biosynthesis	18.1919	7.55257	157.159	18.3016	24.3349	32.04	129.918	5.40542	6.46957	28.1162	24.8765	14.9278	87.2067	15.064	6.34896	35.1764	22.3902	4.29997	26.1398	19.6614	12.4379	11.3696
PWY-5845: superpathway of menaquinol-9 biosynthesis	14.5306	7.88984	157.159	18.4084	24.3349	16.5772	129.918	5.77251	6.26114	32.4807	14.1607	10.3863	87.2067	16.5857	6.50802	29.3596	20.1265	4.41023	18.1467	17.302	14.9498	15.6631
PWY-5850: superpathway of menaquinol-6 biosynthesis	11.167	0	157.159	0	24.3349	10.2674	129.918	3.15867	2.9949	22.5696	14.1607	10.3863	87.2067	10.4045	1.49937	18.2142	16.4799	0	0	17.302	1.38852	3.72795
PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)	0	0.388306	10.7456	0	0.708464	0.384394	2.19886	3.75659	0	0.195065	0	0.788694	24.3974	0.44001	0.244762	0.454389	0.557977	0.102213	0	0.623694	0	0
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I	7.59447	0	122.022	0	16.7368	6.93102	103.216	2.11743	2.01528	15.5789	9.70516	7.05437	67.6474	7.04431	1.00159	12.791	11.3284	0	0	12.0267	0.927412	2.49857
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis I	13.1763	5.43415	146.526	12.8569	19.4527	23.4347	125.54	3.8968	4.43482	23.5339	18.9699	10.928	96.0071	11.4153	4.38875	27.092	16.5854	2.97855	18.9943	17.6346	10.3019	10.8891
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis	9.94221	5.35436	122.022	12.5883	16.7368	11.2777	103.216	3.88743	4.2566	22.7741	9.70516	7.05437	67.6474	11.3341	4.37683	21.3142	13.931	2.96042	12.4074	12.0267	10.1711	10.6804
PWY-5896: superpathway of menaquinol-10 biosynthesis	11.167	0	157.159	0	24.3349	10.2674	129.918	3.15867	2.9949	22.5696	14.1607	10.3863	87.2067	10.4045	1.49937	18.2142	16.4799	0	0	17.302	1.38852	3.72795
